"subject_id","run","group","mean_rt"
"19","3_in_noise","0T",556.75
"19","4_out","0T",456.375
"20","1_out","0T",471.985507246377
"20","2_in","0T",486.617647058824
"20","3_in_noise","0T",488.333333333333
"20","4_out","0T",459.30985915493
"21","1_out","0T",542.263888888889
"21","2_in","0T",577.369230769231
"21","3_in_noise","0T",581.122807017544
"21","4_out","0T",527.214285714286
"22","1_out","11.7T",447.597222222222
"22","2_in","11.7T",542.802816901409
"22","3_in_noise","11.7T",539.388888888889
"22","4_out","11.7T",498.777777777778
"23","1_out","11.7T",552.202898550725
"23","2_in","11.7T",578.339285714286
"23","3_in_noise","11.7T",551.466666666667
"23","4_out","11.7T",516.291666666667
"24","1_out","11.7T",804.80701754386
"24","2_in","11.7T",726.04347826087
"24","3_in_noise","11.7T",724.220588235294
"24","4_out","11.7T",673.069444444444
"25","1_out","11.7T",605.138888888889
"25","2_in","11.7T",573.816901408451
"25","3_in_noise","11.7T",581.671428571429
"25","4_out","11.7T",530.513888888889
"26","1_out","11.7T",544.788732394366
"26","2_in","11.7T",562.955223880597
"26","3_in_noise","11.7T",559.30985915493
"26","4_out","11.7T",559.388888888889
"27","1_out","11.7T",542.521126760563
"27","2_in","11.7T",570.732394366197
"27","3_in_noise","11.7T",545.638888888889
"27","4_out","11.7T",500.097222222222
"28","1_out","11.7T",477.848484848485
"28","2_in","11.7T",554.69014084507
"28","3_in_noise","11.7T",554.514285714286
"28","4_out","11.7T",498.763888888889
"29","1_out","11.7T",377.262295081967
"29","2_in","11.7T",454.582089552239
"29","3_in_noise","11.7T",468.910447761194
"29","4_out","11.7T",428.985915492958
"30","1_out","11.7T",623.220588235294
"30","2_in","11.7T",616.608695652174
"30","3_in_noise","11.7T",623.661764705882
"30","4_out","11.7T",558.069444444444
"31","1_out","11.7T",449.522388059701
"31","2_in","11.7T",472.151515151515
"31","3_in_noise","11.7T",470.294117647059
"31","4_out","11.7T",455.764705882353
"32","1_out","11.7T",425.314285714286
"32","2_in","11.7T",439.476923076923
"32","3_in_noise","11.7T",412.454545454545
"32","4_out","11.7T",386.716417910448
"33","1_out","11.7T",463.65671641791
"33","2_in","11.7T",552.017857142857
"33","3_in_noise","11.7T",516.363636363636
"33","4_out","11.7T",447.34375
"34","1_out","11.7T",432.378787878788
"34","2_in","11.7T",504.377049180328
"34","3_in_noise","11.7T",498.474576271186
"34","4_out","11.7T",425.078125
"35","1_out","11.7T",513.710144927536
"35","2_in","11.7T",542.590909090909
"35","3_in_noise","11.7T",534.608695652174
"35","4_out","11.7T",495.536231884058
"36","1_out","11.7T",514.257142857143
"36","2_in","11.7T",538.584615384615
"36","3_in_noise","11.7T",551.092307692308
"36","4_out","11.7T",503.535211267606
"37","1_out","11.7T",514.455882352941
"37","2_in","11.7T",566.914285714286
"37","3_in_noise","11.7T",522.34375
"37","4_out","11.7T",555.791666666667
"38","1_out","11.7T",519.414285714286
"38","2_in","11.7T",521.913043478261
"38","3_in_noise","11.7T",589.253731343284
"38","4_out","11.7T",477.057971014493
"41","1_out","11.7T",592.085714285714
"41","2_in","11.7T",616.140845070423
"41","3_in_noise","11.7T",645.136363636364
"41","4_out","11.7T",630.676056338028
"42","1_out","11.7T",620.535211267606
"42","2_in","11.7T",587.955223880597
"42","3_in_noise","11.7T",561.044776119403
"42","4_out","11.7T",539.985714285714
